,ID,comments,rating,votes
0,3144518654,虽然套路，但，真的好燃啊！！！后半段各种热泪瞬间。结尾收得很好，不用真的给一个奇迹瞬间，足够感动就够了。舞狮如人生，都是上山下山。未必都会赢，但一定不能认输。另外，其实舞狮并不能改变什么，也不会真的让你走向成功。但生活中总是要有点奔头，要有一口气，这才是活下去的理由，也是会觉得热血的原因。,4,6845
1,3132673708,终于看到一部不是以孙悟空、哪吒为主角的优秀国漫了，居然还是现实主义题材的，太惊喜了。画风写实、技术扎实，配乐也好喜欢，废柴少年成长记，结合舞狮这个民俗主题，情怀感人，细节动人。这是属于小镇青年的奇迹，向城市建设中每一位被“牺牲”的无名氏行一次注目礼，给面目模糊的他们影一张清晰的沙龙照。,5,6375
2,3141125920,说句公道话，片方赚的每一分钱都应该拿出一半给周星驰，拿出两成给徐克李连杰，再拿出一成给马东。正片最后一个镜头彩蛋了，致敬阿彼察邦。,3,2968
3,3141155105,前半段配音烂、节奏烂、笑料烂，后半段老子一顿暴哭，燃死我得了，真的太顶了，简直是一杯呛鼻的烈酒。完完全全用真人片逻辑拍摄的动画电影，真没有想到如此具有现实质感和人文关怀，对于舞狮文化的展现堪称完美。话说男主角剔头之后也太像易烊千玺了吧！,4,5295
4,3136815531,是目前无限接近我心里当下该有的国漫样子——没有IP、没有过多对日美漫画的模仿、没有太多套路。有瑕疵，但瑕不掩瑜。“咸鱼翻身”的主题虽然已经说了很多次了，可是电影结局真的不是绝对的“翻身”。配乐非常棒！,5,7450
5,3165758812,雄狮不会在意自己眼睛的大小。,5,4680
6,3144013410,"优缺点都突出，前期蓄势期极差。生硬转折尴尬，文戏不够喊口号歌曲凑，师母陈壮成等一众闪光点多面性塑造的可能，都未深入挖掘，全员工具人。同样热血滑稽化的演出用了五次。吊诡的是，这全然没阻挡后期感情浑然天成一气呵成喷薄而出。前半有多嫌恶，后半就有多欣喜。
阿娟父母归来，他梦想“下山”，黯然离体验繁华都市的灰暗底色，独自忍受人间冷暖生活重担，狮头埋于杂物。他随清晨人群的醒来，敲醒心灵翩然起舞豁然开朗；比赛惊艳出场，气势十足斗狮，最后一跃不可逾越的擎天高山——那莫欺少年穷的奋勇与激越！
光影场景真实感极强，狮头绒毛很细腻，那沾水时一缕缕的质感——雨水的处理国漫绝无仅有。但人物建模廉价，可谓冰火两重天。
制作组亮出乐夏粉籍！五条人打底的广东地方味，中程有椅子城市哀愁之歌，终九连将感情送至巅峰——绝妙！",4,4084
7,3143599823,"狮头像个做梦装置，戴上就是雄狮少年。
摘下，就回到生活本身。
前半段的确非常周星驰。咸鱼二字或许已然成为他的作者性。无厘头的笑料不仅能调控煽情节奏，也是无数次现实因素对满腔热血的侵蚀。
但一味模仿未免无趣。
所幸电影没有止步于他。少年搭上大巴远行，工地，外卖，下下铺，开豪车的梦中女孩。楼分高低，人有阶级，这才是他人生的登山路。
全片正是一种周星驰叙事与一种现实叙事的反复激荡，正如阿娟一次次得到又失去、戴上又摘下的狮头，正如每个小人物都曾在脑海中发生过的挣扎。
你要梦想，还是生计？
所以结局才那么好，在割裂中找到平衡。狮头挂在那里，生活依旧，梦却也在延续。

很高兴有这样一部无IP原创国产动画电影，而它在呼喊梦想这个古老命题时又如此兼具现实性。
如果一定要喊国产动画崛起，或许现在才是好时候。",5,4115
8,3131605350,2021年度真正黑马惊喜之作，画风与故事的写实走向，代表国漫内容视角的全新飞跃，兼具中国独有的人文与民俗情怀，又不乏爆笑、热血、感动之观感。开篇水墨动画讲述舞狮历史与文化，已预感此片了不得；中间唢呐吹响、鞭炮轰鸣，交织励志少年的成长谱曲；最后咸鱼翻身、雄狮舞起，彻底奏响扶摇直上九万里的生命乐章。每次狮头直立、鼓点响起，胸口便会被点燃一团火，唤醒我们心里长存的一声吼。最后半小时太会抓观众痛点，燃到飞起，个人今年华语片Top3。“一山总有一山高，世界上总有达不到的奇迹”，没人踩的擎天柱，提醒舞狮人保持敬畏，而影片结局告诉我们，《雄狮少年》已无限接近这个奇迹。国产动漫原创IP难出佳作，5星是鼓励，更是值得。,5,3759
9,3143781565,每位渴望成为艺术家的内地新导演，都应该好好学学本片是如何设计场面、调遣运镜、丰富调度的。舞狮这样的传统文化成为了合理的叙事背景，不止是知识普及，更通过阿娟这样的弱小个体提炼出精神层面的坚定。而在美轮美奂的画面下，才是本片最出色的部分——城市的快速发展和传统文化的衰落是并行的。发展的代价太大，落在了人、文化、环境等方方面面。影片末尾的舞狮大赛，鲜艳的各色狮头背后是苍凉的阴霾城市，舞狮的凝聚力激荡人心，却也抵挡不住遍地的寒意。留守儿童的命运往复，很可能就是社会未来模样的缩影。影片彩蛋绝妙地点出了这层内核。当然，从叙事表达上，影片有着强烈的周星驰灵魂覆盖，对话的遣词用句可调整的地方也很多，是比较明显的遗憾。最感叹的是监制张苗多年来判断项目的眼光，市场进步不可或缺的一份子。,4,3032
